id_murid,id_tutor,topik_match,gaya_match,metode_match,time_overlap,murid_flexible,tutor_flexible,feedback_score,label,average_rating_tutor,total_jam_ngajar_tutor,pernah_gagal
M0566,T0008,true,true,true,false,false,false,0,0,3.71,72,true
M0379,T0013,true,true,true,false,false,false,0,0,4.6,323,true
M0964,T0013,true,true,true,false,false,false,0,0,4.6,323,true
M0100,T0017,true,true,true,false,false,false,0,0,3.99,131,true
M0416,T0018,true,true,true,false,false,false,0,0,3.97,18,true
M0757,T0020,true,true,true,false,false,false,0,0,3.07,140,true
M0015,T0021,true,true,true,false,false,false,0,0,3.68,131,true
M0625,T0022,false,false,false,false,false,true,0,0,4.73,387,true
M0634,T0028,false,false,false,false,true,false,0,0,4.7,222,true
M0702,T0028,true,true,true,false,false,false,0,0,4.7,222,true
M0785,T0032,true,true,true,false,false,false,0,0,4.91,215,true
M0026,T0037,false,false,false,false,false,false,0,0,3.62,22,true
M0007,T0041,false,false,false,false,false,false,0,0,4.29,281,true
M0416,T0041,false,false,false,false,false,false,0,0,4.29,281,true
M0120,T0042,false,false,false,false,true,true,0,0,3.44,379,true
M0104,T0045,false,false,false,false,false,false,0,0,3.81,337,true
M0140,T0046,true,true,true,false,false,false,0,0,4.31,385,true
M0771,T0047,false,false,false,false,true,true,0,0,3.4,155,true
M0570,T0048,true,true,true,false,false,false,0,0,3.51,183,true
M0057,T0049,false,false,false,false,true,true,0,0,4.55,170,true
M0899,T0050,true,true,true,false,false,false,0,0,4.69,55,true
M0254,T0052,false,false,false,false,false,false,0,0,4.77,207,true
M0658,T0056,false,false,false,false,false,false,0,0,3.49,223,true
M0332,T0060,true,true,true,false,false,false,0,0,4.84,144,true
M0137,T0062,true,true,true,false,false,false,0,0,4.16,256,true
M0800,T0063,true,true,true,false,false,false,0,0,4.33,188,true
M0476,T0064,true,true,true,false,false,false,0,0,3.93,220,true
M0665,T0064,true,true,true,false,false,false,0,0,3.93,220,true
M0875,T0068,true,true,true,false,false,false,0,0,4.4,261,true
M0447,T0073,true,true,true,false,false,false,0,0,4.83,255,true
M0200,T0075,true,true,true,false,false,false,0,0,3.44,398,true
M0281,T0076,false,false,false,false,false,false,0,0,4.9,219,true
M0172,T0081,false,false,false,false,false,true,0,0,4.42,330,true
M0664,T0085,false,false,false,false,false,true,0,0,4.24,400,true
M0677,T0086,false,false,false,false,false,false,0,0,4.17,321,true
M0685,T0088,false,false,false,false,false,true,0,0,4.09,121,true
M0963,T0089,false,false,false,false,false,false,0,0,3.72,364,true
M0416,T0091,true,true,true,false,false,false,0,0,3.38,299,true
M0864,T0112,false,false,false,false,true,true,0,0,3.37,214,true
M0905,T0115,true,true,true,false,false,false,0,0,4.29,26,true
M0598,T0121,false,false,false,false,false,true,0,0,3.46,29,true
M0564,T0122,false,false,false,false,false,false,0,0,4.25,258,true
M0561,T0131,false,false,false,false,true,false,0,0,4.47,193,true
M0239,T0131,false,false,false,false,false,false,0,0,4.47,193,true
M0785,T0134,true,true,true,false,false,false,0,0,4.89,24,true
M0092,T0134,true,true,true,false,false,false,0,0,4.89,24,true
M0070,T0139,false,false,false,false,false,false,0,0,3.77,64,true
M0103,T0139,true,true,true,false,false,false,0,0,3.77,64,true
M0753,T0139,true,true,true,false,false,false,0,0,3.77,64,true
M0774,T0139,true,true,true,false,false,false,0,0,3.77,64,true
M0854,T0143,false,false,false,false,false,true,0,0,3.22,228,true
M0294,T0145,false,false,false,false,false,true,0,0,4.43,36,true
M0678,T0146,false,false,false,false,true,false,0,0,3.69,160,true
M0392,T0146,false,false,false,false,false,false,0,0,3.69,160,true
M0945,T0148,false,false,false,false,false,true,0,0,4.88,384,true
M0445,T0152,false,false,false,false,false,false,0,0,3.77,33,true
M0482,T0154,true,true,true,false,false,false,0,0,3.03,21,true
M0555,T0157,false,false,false,false,true,false,0,0,3.03,267,true
M0110,T0159,false,false,false,false,false,false,0,0,3.37,95,true
M0513,T0163,false,false,false,false,false,false,0,0,4.59,221,true
M0633,T0166,false,false,false,false,true,true,0,0,4.02,262,true
M0948,T0171,true,true,true,false,false,false,0,0,3.24,242,true
M0023,T0171,true,true,true,false,false,false,0,0,3.24,242,true
M0392,T0176,false,false,false,false,false,false,0,0,3.26,123,true
M0450,T0176,false,false,false,false,false,false,0,0,3.26,123,true
M0581,T0176,true,true,true,false,false,false,0,0,3.26,123,true
M0062,T0177,false,false,false,false,false,true,0,0,3.18,24,true
M0370,T0178,true,true,true,false,false,false,0,0,4.08,126,true
M0327,T0185,true,true,true,false,false,false,0,0,4.06,113,true
M0345,T0190,true,true,true,false,false,false,0,0,3.84,378,true
M0213,T0199,true,true,true,false,false,false,0,0,4.85,287,true
M0963,T0201,false,false,false,false,false,false,0,0,3.3,79,true
M0553,T0203,true,true,true,false,false,false,0,0,3.98,67,true
M0319,T0204,true,true,true,false,false,false,0,0,4.81,379,true
M0601,T0204,true,true,true,false,false,false,0,0,4.81,379,true
M0611,T0205,false,false,false,false,false,true,0,0,3.51,153,true
M0261,T0206,false,false,false,false,false,false,0,0,4.86,247,true
M0649,T0207,true,true,true,false,false,false,0,0,4.89,16,true
M0615,T0210,false,false,false,false,false,false,0,0,3.78,20,true
M0024,T0217,false,false,false,false,true,false,0,0,4.36,85,true
M0300,T0217,true,true,true,false,false,false,0,0,4.36,85,true
M0978,T0219,true,true,true,false,false,false,0,0,4.27,342,true
M0454,T0219,false,false,false,false,false,false,0,0,4.27,342,true
M0857,T0221,false,false,false,false,false,true,0,0,4.99,264,true
M0697,T0221,false,false,false,false,false,true,0,0,4.99,264,true
M0975,T0222,false,false,false,false,false,true,0,0,4.72,298,true
M0426,T0231,false,false,false,false,true,true,0,0,4.03,112,true
M0191,T0231,false,false,false,false,true,true,0,0,4.03,112,true
M0927,T0240,true,true,true,false,false,false,0,0,3.6,195,true
M0723,T0242,true,true,true,false,false,false,0,0,4.57,309,true
M0869,T0244,false,false,false,false,false,false,0,0,4.09,45,true
M0688,T0252,true,true,true,false,false,false,0,0,4.21,38,true
M0484,T0252,false,false,false,false,true,false,0,0,4.21,38,true
M0978,T0253,true,true,true,false,false,false,0,0,4.87,145,true
M0978,T0253,true,true,true,false,false,false,0,0,4.87,145,true
M0978,T0253,true,true,true,false,false,false,0,0,4.87,145,true
M0978,T0253,true,true,true,false,false,false,0,0,4.87,145,true
M0474,T0258,true,true,true,false,false,false,0,0,4.23,147,true
M0761,T0259,false,false,false,false,false,false,0,0,3.19,184,true
M0960,T0261,true,true,true,false,false,false,0,0,4.7,28,true
M0523,T0262,false,false,false,false,false,false,0,0,4.53,365,true
M0643,T0263,true,true,true,false,false,false,0,0,4.04,55,true
M0361,T0265,true,true,true,false,false,false,0,0,4.61,74,true
M0490,T0266,true,true,true,false,false,false,0,0,5,66,true
M0430,T0266,true,true,true,false,false,false,0,0,5,66,true
M0655,T0272,false,false,false,false,false,true,0,0,3.91,40,true
M0617,T0275,true,true,true,false,false,false,0,0,3.58,142,true
M0031,T0276,true,true,true,false,false,false,0,0,4.3,152,true
M0385,T0278,false,false,false,false,true,false,0,0,4.52,356,true
M0935,T0280,false,false,false,false,false,false,0,0,4.71,19,true
M0551,T0284,true,true,true,false,false,false,0,0,3.19,35,true
M0455,T0287,true,true,true,false,false,false,0,0,4.28,176,true
M0623,T0289,true,true,true,false,false,false,0,0,3.18,372,true
M0422,T0289,false,false,false,false,false,false,0,0,3.18,372,true
M0912,T0290,false,false,false,false,false,false,0,0,3.34,131,true
M0079,T0291,true,true,true,false,false,false,0,0,3.67,258,true
M0613,T0294,false,false,false,false,false,true,0,0,3.88,282,true
M0396,T0295,true,true,true,false,false,false,0,0,3.86,213,true
M0971,T0297,false,false,false,false,false,false,0,0,3.05,350,true
M0722,T0298,true,true,true,false,false,false,0,0,3.79,88,true
M0140,T0298,false,false,false,false,false,false,0,0,3.79,88,true
M0423,T0303,false,false,false,false,false,false,0,0,4.45,162,true
M0349,T0312,true,true,true,false,false,false,0,0,3.34,152,true
M0504,T0314,true,true,true,false,false,false,0,0,4.93,200,true
M0619,T0314,true,true,true,false,false,false,0,0,4.93,200,true
M0588,T0318,false,false,false,false,false,true,0,0,3.68,224,true
M0338,T0319,false,false,false,false,false,false,0,0,3.25,233,true
M0976,T0319,true,true,true,false,false,false,0,0,3.25,233,true
M0131,T0320,true,true,true,false,false,false,0,0,4.91,357,true
M0757,T0324,false,false,false,false,false,false,0,0,4.14,94,true
M0162,T0327,false,false,false,false,false,false,0,0,4.86,286,true
M0078,T0328,false,false,false,false,false,false,0,0,4.23,98,true
M0155,T0329,true,true,true,false,false,false,0,0,4.96,221,true
M0595,T0334,false,false,false,false,false,true,0,0,4.1,106,true
M0288,T0336,true,true,true,false,false,false,0,0,3.3,251,true
M0916,T0337,false,false,false,false,false,false,0,0,3.15,154,true
M0850,T0337,true,true,true,false,false,false,0,0,3.15,154,true
M0091,T0337,true,true,true,false,false,false,0,0,3.15,154,true
M0835,T0341,true,true,true,false,false,false,0,0,3.18,134,true
M0309,T0342,true,true,true,false,false,false,0,0,3.11,322,true
M0317,T0348,true,true,true,false,false,false,0,0,3.62,364,true
M0621,T0353,true,true,true,false,false,false,0,0,4.62,142,true
M0561,T0354,false,false,false,false,true,false,0,0,3.96,157,true
M0948,T0360,true,true,true,false,false,false,0,0,4.39,154,true
M0023,T0360,true,true,true,false,false,false,0,0,4.39,154,true
M0679,T0366,false,false,false,false,false,true,0,0,3.81,175,true
M0509,T0367,false,false,false,false,true,false,0,0,3.85,314,true
M0298,T0383,true,true,true,false,false,false,0,0,3.13,213,true
M0327,T0385,false,false,false,false,false,false,0,0,3.76,356,true
M0237,T0387,true,true,true,false,false,false,0,0,3.37,107,true
M0890,T0391,false,false,false,false,false,true,0,0,3.95,158,true
M0662,T0392,false,false,false,false,false,false,0,0,4.45,38,true
M0412,T0392,false,false,false,false,true,false,0,0,4.45,38,true
M0773,T0394,true,true,true,false,false,false,0,0,4.44,225,true
M0891,T0394,false,false,false,false,false,false,0,0,4.44,225,true
M0305,T0395,false,false,false,false,false,false,0,0,3.6,221,true
M0611,T0396,true,true,true,false,false,false,0,0,3.03,172,true
M0702,T0406,true,true,true,false,false,false,0,0,4,379,true
M0608,T0407,true,true,true,false,false,false,0,0,4.03,360,true
M0557,T0409,true,true,true,false,false,false,0,0,3.76,70,true
M0932,T0410,false,false,false,false,true,true,0,0,3.53,323,true
M0026,T0416,false,false,false,false,false,false,0,0,3.2,229,true
M0193,T0421,true,true,true,false,false,false,0,0,4.67,30,true
M0511,T0421,true,true,true,false,false,false,0,0,4.67,30,true
M0140,T0422,false,false,false,false,false,false,0,0,4.12,63,true
M0331,T0423,false,false,false,false,false,false,0,0,4.73,48,true
M0405,T0427,true,true,true,false,false,false,0,0,4.58,66,true
